PRECINCT,Date,Race,totvote,DEM_Turnout,REP_Turnout,NPA_Turnout,Other_party_Turnout,White_Turnout,Black_Turnout,Hispanic_Turnout,Other_race_Turnout,Male_Turnout,Female_Turnout,Unkwn_Turnout,pct_white,pct_black,pct_non_bw,DEM_candidate_votes,REP_candidate_votes,OTHER_candidate_votes,Total_contest_votes,pct_dem,pct_rep,D-R_vote_pct,D-R_vote,District
502,11/4/2014,Governor,517,208,203,78,28,387,101,12,17,243,267,7,0.748549323,0.195357834,0.056092843,227,250,36,513,0.442495127,0.487329435,-0.044834308,-23,5
503,11/4/2014,Governor,559,312,158,69,20,277,231,23,28,237,312,10,0.495527728,0.413237925,0.091234347,318,188,51,557,0.570915619,0.337522442,0.233393178,130,5
504,11/4/2014,Governor,1321,464,696,122,39,1107,151,20,43,598,709,14,0.838001514,0.114307343,0.047691143,507,747,53,1307,0.387911247,0.571537873,-0.183626626,-240,5
505,11/4/2014,Governor,1533,381,978,136,38,1442,10,27,54,736,781,16,0.940639269,0.006523157,0.052837573,395,1084,39,1518,0.260210804,0.714097497,-0.453886693,-689,5
506,11/4/2014,Governor,1705,720,715,211,59,1220,364,40,81,743,941,21,0.715542522,0.213489736,0.070967742,711,876,97,1684,0.422209026,0.520190024,-0.097980998,-165,5
507,11/4/2014,Governor,784,404,283,78,19,459,282,17,26,331,442,11,0.585459184,0.359693878,0.054846939,422,318,36,776,0.543814433,0.409793814,0.134020619,104,5
508,11/4/2014,Governor,3102,1029,1628,340,105,2709,185,101,107,1376,1692,34,0.873307544,0.059638943,0.067053514,981,1903,180,3064,0.320169713,0.621083551,-0.300913838,-922,5
509,11/4/2014,Governor,2317,735,1352,186,44,2076,128,48,65,1047,1247,23,0.895986189,0.05524385,0.048769961,656,1545,86,2287,0.286838653,0.675557499,-0.388718846,-889,5
510,11/4/2014,Governor,1938,607,1037,227,67,1654,173,46,65,894,1023,21,0.853457172,0.089267286,0.057275542,561,1252,107,1920,0.2921875,0.652083333,-0.359895833,-691,5
511,11/4/2014,Governor,1022,452,424,114,32,758,197,24,43,456,549,17,0.741682975,0.192759295,0.06555773,363,585,62,1010,0.359405941,0.579207921,-0.21980198,-222,5
512,11/4/2014,Governor,2052,791,915,261,85,1392,422,103,135,870,1147,35,0.678362573,0.205653021,0.115984405,829,1091,103,2023,0.409787444,0.539298072,-0.129510628,-262,5
513,11/4/2014,Governor,1229,513,536,141,39,905,221,36,67,547,659,23,0.736371033,0.179820993,0.083807974,413,722,81,1216,0.339638158,0.59375,-0.254111842,-309,5
601,11/4/2014,Governor,1991,433,1304,196,58,1802,69,38,82,973,999,19,0.905072828,0.034655952,0.06027122,402,1501,70,1973,0.203750634,0.7607704,-0.557019767,-1099,6
602,11/4/2014,Governor,2127,571,1166,304,86,1788,174,60,105,1022,1079,26,0.840620592,0.08180536,0.077574048,582,1425,103,2110,0.275829384,0.67535545,-0.399526066,-843,6
603,11/4/2014,Governor,2365,706,1402,204,53,2185,54,42,84,1111,1241,13,0.923890063,0.022832981,0.053276956,655,1616,76,2347,0.279079676,0.68853856,-0.409458884,-961,6
604,11/4/2014,Governor,1209,268,790,107,44,1121,14,35,39,589,610,10,0.927212572,0.011579818,0.06120761,268,895,34,1197,0.223893066,0.74770259,-0.523809524,-627,6
605,11/4/2014,Governor,2445,509,1588,284,64,2193,92,57,103,1221,1197,27,0.896932515,0.037627812,0.065439673,514,1824,79,2417,0.212660323,0.75465453,-0.541994208,-1310,6
606,11/4/2014,Governor,3189,717,2022,362,88,2910,109,58,112,1544,1619,26,0.912511759,0.034179994,0.053308247,706,2317,130,3153,0.223913733,0.734855693,-0.51094196,-1611,6
